Date,Close,Symbol
1/2/19 16:00,99.31,JPM
1/3/19 16:00,97.11,JPM
1/4/19 16:00,100.69,JPM
1/7/19 16:00,100.76,JPM
1/8/19 16:00,100.57,JPM
1/9/19 16:00,100.4,JPM
1/10/19 16:00,100.39,JPM
1/11/19 16:00,99.91,JPM
1/14/19 16:00,100.94,JPM
1/15/19 16:00,101.68,JPM
1/16/19 16:00,102.5,JPM
1/17/19 16:00,102.92,JPM
1/18/19 16:00,104.59,JPM
1/22/19 16:00,102.94,JPM
1/23/19 16:00,102.68,JPM
1/24/19 16:00,102.74,JPM
1/25/19 16:00,103.39,JPM
1/28/19 16:00,103.88,JPM
1/29/19 16:00,104.17,JPM
1/30/19 16:00,104.41,JPM
1/31/19 16:00,103.5,JPM
2/1/19 16:00,103.88,JPM
2/4/19 16:00,104.25,JPM
2/5/19 16:00,103.79,JPM
2/6/19 16:00,103.74,JPM
2/7/19 16:00,102.38,JPM
2/8/19 16:00,101.36,JPM
2/11/19 16:00,100.88,JPM
2/12/19 16:00,102.6,JPM
2/13/19 16:00,103.09,JPM
2/14/19 16:00,102.42,JPM
2/15/19 16:00,105.55,JPM
2/19/19 16:00,105.18,JPM
2/20/19 16:00,105.69,JPM
2/21/19 16:00,105.47,JPM
2/22/19 16:00,105,JPM
2/25/19 16:00,106.1,JPM
2/26/19 16:00,105.29,JPM
2/27/19 16:00,105.16,JPM
2/28/19 16:00,104.36,JPM
3/1/19 16:00,104.43,JPM
3/4/19 16:00,104.19,JPM
3/5/19 16:00,104.11,JPM
3/6/19 16:00,103.72,JPM
3/7/19 16:00,102.97,JPM
3/8/19 16:00,103.01,JPM
3/11/19 16:00,104.35,JPM
3/12/19 16:00,104.04,JPM
3/13/19 16:00,104.39,JPM
3/14/19 16:00,105.34,JPM
3/15/19 16:00,106.55,JPM
3/18/19 16:00,107.19,JPM
3/19/19 16:00,106.8,JPM
3/20/19 16:00,104.52,JPM
3/21/19 16:00,102.87,JPM
3/22/19 16:00,99.76,JPM
3/25/19 16:00,98.93,JPM
3/26/19 16:00,99.92,JPM
3/27/19 16:00,99.58,JPM
3/28/19 16:00,100.71,JPM
3/29/19 16:00,101.23,JPM
4/1/19 16:00,104.64,JPM
4/2/19 16:00,105.14,JPM
4/3/19 16:00,105.35,JPM
4/4/19 16:00,105.56,JPM
4/5/19 16:00,105.31,JPM
4/8/19 16:00,105.65,JPM
4/9/19 16:00,104.87,JPM
4/10/19 16:00,105.34,JPM
4/11/19 16:00,106.23,JPM
4/12/19 16:00,111.21,JPM
4/15/19 16:00,109.94,JPM
4/16/19 16:00,111.1,JPM
4/17/19 16:00,114.3,JPM
4/18/19 16:00,113.46,JPM
4/22/19 16:00,113.6,JPM
4/23/19 16:00,113.74,JPM
4/24/19 16:00,113.55,JPM
4/25/19 16:00,113.61,JPM
4/26/19 16:00,114.47,JPM
4/29/19 16:00,116.12,JPM
4/30/19 16:00,116.05,JPM
5/1/19 16:00,115.16,JPM
5/2/19 16:00,115.41,JPM
5/3/19 16:00,116.12,JPM
5/6/19 16:00,115.09,JPM
5/7/19 16:00,113.21,JPM
5/8/19 16:00,112.61,JPM
5/9/19 16:00,112.52,JPM
5/10/19 16:00,112.51,JPM
5/13/19 16:00,109.45,JPM
5/14/19 16:00,110.32,JPM
5/15/19 16:00,109.9,JPM
5/16/19 16:00,111.31,JPM
5/17/19 16:00,110.77,JPM
5/20/19 16:00,111.35,JPM
5/21/19 16:00,111.73,JPM
5/22/19 16:00,110.82,JPM
5/23/19 16:00,108.64,JPM
5/24/19 16:00,109.71,JPM
5/28/19 16:00,108.52,JPM
5/29/19 16:00,108.22,JPM
5/30/19 16:00,107.06,JPM
5/31/19 16:00,105.96,JPM
6/3/19 16:00,106.46,JPM
6/4/19 16:00,109.74,JPM
6/5/19 16:00,110.13,JPM
6/6/19 16:00,110.37,JPM
6/7/19 16:00,109.16,JPM
6/10/19 16:00,110.34,JPM
6/11/19 16:00,110.68,JPM
6/12/19 16:00,109.27,JPM
6/13/19 16:00,109.54,JPM
6/14/19 16:00,109.82,JPM
6/17/19 16:00,109.22,JPM
6/18/19 16:00,110.71,JPM
6/19/19 16:00,109.91,JPM
6/20/19 16:00,110.19,JPM
6/21/19 16:00,109.44,JPM
6/24/19 16:00,108.66,JPM
6/25/19 16:00,107.76,JPM
6/26/19 16:00,108.48,JPM
6/27/19 16:00,108.84,JPM
6/28/19 16:00,111.8,JPM
7/1/19 16:00,113.68,JPM
7/2/19 16:00,113.8,JPM
7/3/19 13:00,112.82,JPM
7/5/19 16:00,113.49,JPM
7/8/19 16:00,112.87,JPM
7/9/19 16:00,113.35,JPM
7/10/19 16:00,113.02,JPM
7/11/19 16:00,114.1,JPM
7/12/19 16:00,115.3,JPM
7/15/19 16:00,113.9,JPM
7/16/19 16:00,115.12,JPM
7/17/19 16:00,113.99,JPM
7/18/19 16:00,114.67,JPM
7/19/19 16:00,113.54,JPM
7/22/19 16:00,114.27,JPM
7/23/19 16:00,116.36,JPM
7/24/19 16:00,116.83,JPM
7/25/19 16:00,115.71,JPM
7/26/19 16:00,116.22,JPM
7/29/19 16:00,115.85,JPM
7/30/19 16:00,115.59,JPM
7/31/19 16:00,116,JPM
8/1/19 16:00,112.94,JPM
8/2/19 16:00,112.93,JPM
8/5/19 16:00,109.57,JPM
8/6/19 16:00,110.43,JPM
8/7/19 16:00,108.03,JPM
8/8/19 16:00,109.86,JPM
8/9/19 16:00,109.74,JPM
8/12/19 16:00,107.68,JPM
8/13/19 16:00,109.34,JPM
8/14/19 16:00,104.8,JPM
8/15/19 16:00,105.2,JPM
8/16/19 16:00,107.72,JPM
8/19/19 16:00,108.69,JPM
8/20/19 16:00,107.31,JPM
8/21/19 16:00,107.61,JPM
8/22/19 16:00,108.72,JPM
8/23/19 16:00,106.02,JPM
8/26/19 16:00,106.87,JPM
8/27/19 16:00,105.74,JPM
8/28/19 16:00,106.8,JPM
8/29/19 16:00,109.22,JPM
8/30/19 16:00,109.86,JPM
9/3/19 16:00,108.56,JPM
9/4/19 16:00,109.87,JPM
9/5/19 16:00,112.37,JPM
9/6/19 16:00,112.61,JPM
9/9/19 16:00,115.4,JPM
9/10/19 16:00,116.87,JPM
9/11/19 16:00,117.19,JPM
9/12/19 16:00,117.91,JPM
9/13/19 16:00,120.23,JPM
9/16/19 16:00,119.16,JPM
9/17/19 16:00,118.57,JPM
9/18/19 16:00,119.76,JPM
9/19/19 16:00,119.38,JPM
9/20/19 16:00,118.9,JPM
9/23/19 16:00,118.88,JPM
9/24/19 16:00,117.33,JPM
9/25/19 16:00,118,JPM
9/26/19 16:00,117.03,JPM
9/27/19 16:00,117.72,JPM
9/30/19 16:00,117.69,JPM
10/1/19 16:00,115.55,JPM
10/2/19 16:00,113.25,JPM
10/3/19 16:00,112.19,JPM
